Company Name,Website,Company Linkedin Url,Annual Revenue,Industry,Segmented Industry ,Product/ Service/ Offering,Company Country,Remarks,Category_Gemini,Category_Claude
"1Life Healthcare, Inc.",http://www.1life.com,http://www.linkedin.com/company/1life-healthcare-inc.,1045547000,,,,United States,,"the website `www.1life.com` is for ""1life healthcare"". this company is affiliated with ""one medical group,"" which provides primary care services, including in-person and virtual care, and leverages technology for patient experience. 1life healthcare itself provides a technology platform supporting electronic health records, online scheduling, patient billing, and other administrative services. they also offer mobile data and technology services, such as video visit technology, digital dermatology, and nutritional coaching apps. the company's mission is to provide exceptional tools and services to transform healthcare delivery. it's important to note that ""1life healthcare, inc."" is mentioned as an administrative and managerial services company for physician-owned professional corporations and one medical entities. one medical has also been acquired by amazon.

considering the nature of the services described (healthcare technology, administrative services for healthcare providers, digital health tools, and patient engagement platforms) and the absence of any direct online sales of goods or services, the website's primary purpose is marketing, branding, and providing information about its services.

therefore, the classification is 'mark-ops'.mark-ops",
1Path,http://www.redhelm.com,http://www.linkedin.com/company/redhelmco,,information technology & services,,,United States,,mark-ops,
1st Class Real Estate,http://www.1stclassrealestate.com,http://www.linkedin.com/company/1st-class-real-estate,148700000,real estate,,,United States,,"the website `http://www.1stclassrealestate.com` is classified as 'mark-ops'. the html content and google search results consistently indicate that the website focuses on offering franchise opportunities in the real estate sector. it highlights aspects like business models, support for agents and franchisees, growth opportunities, and technology resources rather than direct online sales of properties or services to consumers. the primary purpose appears to be marketing its franchise program and brand to potential business owners and agents.

mark-ops",
"1st Equipment Finance, Inc.",,http://www.linkedin.com/company/1st-equipment-finance,183392000,banking,,,United States,,other,
1st Franklin Financial Corporation,http://www.1ffc.com,http://www.linkedin.com/company/1st-franklin-financial,117435000,financial services,,,United States,,"the website http://www.1ffc.com/, identified as 1st franklin financial, is a financial services provider specializing in personal loans. the html content indicates a focus on loan applications and financial assistance, with meta descriptions highlighting their priority to provide funds simply and efficiently. the structured data further categorizes them as an organization offering ""personal loan"" services. the google search results confirm that 1st franklin financial offers personal loans, debt consolidation, and retail financing, with a stated goal of serving financial needs and helping customers ""do life"". the site provides resources such as loan calculators, checklists, and faqs to guide potential customers through the application process. there are no direct online sales or shopping cart functionalities indicative of e-commerce. instead, the primary purpose is lead generation for their loan services and corporate branding as a financial service provider. therefore, it best fits the 'mark-ops' category.
mark-ops",
1st Security Bank of Washington,http://www.fsbwa.com,http://www.linkedin.com/company/1st-security-bank-of-washington,213883000,banking,,,United States,,"the website http://www.fsbwa.com belongs to 1st security bank. the html content clearly indicates this is a financial institution offering personal and business banking services, including checking accounts, savings accounts, cds, money markets, business banking, and commercial lending. the meta description emphasizes helping the community grow and personal service. google search results further confirm that 1st security bank provides various banking services, home loans, and online/mobile banking features. the website also features sections like ""about us,"" ""meet the team,"" and information about their vision and values, all characteristic of a company focused on marketing its services and building its brand. there are no indications of direct online sales of goods or products.

mark-ops",
1st Source Bank,http://www.1stsource.com,http://www.linkedin.com/company/1st-source-bank,578107000,banking,,,United States,,mark-ops,
2 Men And A Truck,http://www.2menandapickuptruck.com,http://www.linkedin.com/company/2-men-and-a-truck,400000000,,,,United States,,mark-ops,
20th Century Studios,http://www.20thcenturystudios.com,http://www.linkedin.com/company/20th-century-studios,150000000,media production,,,United States,,"the provided html shows an ""access denied"" message, meaning the website's content is not directly accessible. based on google search results, ""20thcenturystudios.com"" is the official website for 20th century studios, a major american film production and distribution company, now owned by the walt disney company. the website is associated with film production, distribution, and showcasing their filmography and news. this aligns with the description of 'mark-ops' as it focuses on marketing, branding, and corporate communications for a film studio. there are no indications of direct online sales or e-commerce features mentioned for the main website.

mark-ops",
2-10 Home Buyers Warranty,http://www.2-10.com,http://www.linkedin.com/company/home-buyers-warranty,198000000,insurance,,,United States,,mark-ops,
"21st Century HealthCare, Inc.",http://www.21stcenturyvitamins.com,http://www.linkedin.com/company/21st-century-healthcare,100000000,mechanical or industrial engineering,,,United States,,"the website http://www.21stcenturyvitamins.com is for 21st century healthcare, inc., a company that offers a wide range of vitamins and supplements. the html content mentions ""highest quality vitamins and supplements"" and indicates a business focused on these products. the search results confirm this, showing categories like ""vitamins"", ""supplements"", ""gummies"", ""herbs"", ""multivitamins"", and ""teas"". many snippets mention ""shop products"", ""all products"", and direct users to purchase items, listing products like vitamin d3, calcium, and melatonin. furthermore, result explicitly states ""purchase 21st century vitamins online"" and lists external retailers like amazon.com and iherb where their products can be bought, also linking to their own ""buy now"" page. while the html itself doesn't detail a shopping cart or checkout process, the overall content and search results strongly indicate that the primary function of the website is to enable online sales and transactions of health products.

e-commerce",
21st Century Insurance,http://www.21st.com,http://www.linkedin.com/company/21st-century-insurance,800000000,insurance,,,United States,,"the search results indicate that www.21st.com is associated with insurance companies, specifically ""21st century insurance"" which offers california car insurance, and ""21st insurance agency"" which offers mobile and manufactured home insurance, rv insurance, boat insurance, and auto insurance. there is also mention of ""21st mortgage"" which deals with home loans, and ""21st century travel insurance"". these businesses are primarily service-based, focused on providing quotes and information about insurance policies and financial products rather than direct sales of goods.

therefore, the website falls under the 'mark-ops' category.
mark-ops",
22nd Century Software Solutions,,http://www.linkedin.com/company/22css,500000000,,,,United States,,other,
22nd Century Staffing,http://www.22ndstaffing.com,http://www.linkedin.com/company/22nd-century-staffing,235000000,,,,United States,,mark-ops,
22nd Century Technologies Inc.,http://www.tscti.com,http://www.linkedin.com/company/22ndcenturytechnologies,144300000,information technology & services,,,United States,,"the html content describes the website as belonging to ""22nd century technologies inc."" and highlights services like ""managed services providers (msps),"" ""it needs outsourcing,"" ""proactive monitoring,"" ""managed security,"" ""mobile device management,"" ""remote helpdesk support,"" ""it staffing services,"" ""project management,"" and ""network management & operations center."" the meta description explicitly states, ""learn how we can save time and effort for your business."" this language and service offering are characteristic of a company focused on marketing its it services and generating leads, rather than directly selling products online.

the google search results confirm this classification. the searches for ""22nd century technologies inc. services"" and the website itself reveal that tscti is an it consultancy and service integrator. they offer a wide range of services including cloud engineering, cybersecurity, digital transformation, it infrastructure, ai & innovation, agile & devsecops, managed network services, erp solutions, and workforce solutions. they work with government sectors (federal, state, and local) and commercial clients. the descriptions emphasize their role in transforming businesses, supporting critical missions, and providing solutions. there is no mention of e-commerce functionalities like product listings, shopping carts, or online payment gateways.

therefore, the website's primary purpose is to market and communicate its it services and solutions to potential clients, which falls under the 'mark-ops' category.

mark-ops",
23andMe,http://www.23andme.com,http://www.linkedin.com/company/23andme,189896000,research,,,United States,,e-commerce,
24 Hour Home Care,http://www.24hrcares.com,http://www.linkedin.com/company/24hr-homecare,150000000,hospital & health care,,,United States,,mark-ops,
24 Seven Talent,http://www.24seventalent.com,http://www.linkedin.com/company/24seventalent,469000000,staffing & recruiting,,,United States,,mark-ops,
2AM Group,http://www.2amgroup.com,http://www.linkedin.com/company/2am-group,128900000,automotive,,,United States,,mark-ops,
2K Vegas,,http://www.linkedin.com/company/2k-vegas,104100000,computer games,,,United States,,other,
2nd Ave Thrift Superstore,http://www.2ndavestores.com,http://www.linkedin.com/company/2a-management-llc,100000000,retail,,,United States,,"the html description mentions ""over 300 thrift stores"" and ""great deals on clothing, accessories, hard goods, electronics, books, home goods, and more."" it also includes elements for finding stores (""find-store-btn""). the page title is ""savers.""

google searches reveal that `www.2ndavestores.com` is the website for ""2nd ave thrift superstore"". this brand is related to ""savers"" and ""value village"". these are established thrift store chains. the search results highlight that these are physical retail stores where customers can shop for used goods. while there's mention of a ""2nd ave rewards program"" and ""gift cards"", there's no clear indication of an e-commerce platform where customers can directly purchase items online through a shopping cart and checkout system. one search result shows ""shop all - 2nd ave trading"" with product listings, prices, and an ""add to cart"" button. this suggests that while the primary focus is on physical stores, there might be an online retail component. however, the overall description and the majority of the search results emphasize the physical store experience, the variety of donated items, and the mission to support nonprofits through donations. the html content itself also leans towards directing users to physical stores and promoting deals rather than facilitating online transactions.

given the strong emphasis on physical thrift stores and the presence of an ""add to cart"" button in at least one specific ""shop all"" section, there is a component that allows for online sales. however, the overall website classification needs to consider if this is the *primary* function. the html description emphasizes physical store presence and the general nature of items available in thrift stores, and the dominant search results are about store locations and the physical shopping experience.

let's re-evaluate. the prompt defines 'e-commerce' as ""primarily enables online sales or transactions and includes features such as product listings, shopping carts, checkout or payment gateways, customer accounts, promotional offers, or order tracking."" the existence of ""shop all"" with product listings and an ""add to cart"" button strongly suggests e-commerce functionality. while the html also mentions physical stores, the presence of online shopping capabilities, even if not the *sole* focus, pushes it towards 'e-commerce' rather than 'mark-ops' which explicitly states ""without direct purchase options"".

therefore, based on the presence of online shopping features like product listings and a shopping cart on `www.2ndavestores.com` (specifically noted in result for ""2nd ave trading"" which links to the main domain), it should be classified as 'e-commerce'.

e-commerce",
2U,http://www.2u.com,http://www.linkedin.com/company/2u,945953000,government administration,,,United States,,"the website `http://www.2u.com/` is a marketing and operations website. the provided html content and subsequent search results indicate that 2u is an education technology company that partners with universities to offer online degree programs and courses. the site focuses on detailing their mission, services, partnerships with educational institutions, and the impact of their work, rather than facilitating direct online sales or transactions. features like ""about us,"" ""services,"" and information about their platform edx are characteristic of marketing and corporate communications. therefore, it fits the 'mark-ops' category.

mark-ops",
2Wire,http://www.2wire.com,http://www.linkedin.com/company/2wire,667400000,telecommunications,,,United States,,timeout,
313 Presents,http://www.313presents.com,http://www.linkedin.com/company/313-presents,102000000,entertainment,,,United States,,mark-ops,
32BJ SEIU,http://www.seiu32bj.org,http://www.linkedin.com/company/32bjseiu,106033000,nonprofit organization management,,,United States,,mark-ops,
360 Behavioral Health,http://www.360behavioralhealth.com,http://www.linkedin.com/company/360-behavioral-health,701200000,individual & family services,,,United States,,mark-ops,
360 Cloud Solutions (combined with Moss Adams in 2025),,http://www.linkedin.com/company/360-cloud-solutions,820000000,information technology & services,,,United States,,other,
360 Destination Group,http://www.360dg.com,http://www.linkedin.com/company/360-destination-group,200000000,events services,,,United States,,"the website http://www.360dg.com belongs to 360 destination group, a company that specializes in destination management and event planning for corporate experiences. their services focus on logistics, organization, and creating unique event concepts for clients, rather than facilitating online sales or transactions. the website's description emphasizes stress-free event planning and seamless management for corporate events. this aligns with the characteristics of a company focused on marketing, branding, lead generation, and corporate communications.

mark-ops",
360 ONE Wealth,http://www.360.one,http://www.linkedin.com/company/360one-wealth,235776000,financial services,,,United States,,"the website `http://www.360.one` is for 360 one, which is an indian multinational wealth and asset management company. it offers a range of financial services including wealth management, asset management, portfolio management, corporate treasury solutions, and lending. the company focuses on providing specialized solutions in wealth and asset management, helping clients manage and grow their capital and secure their legacy. their services include investment solutions, estate planning, family office solutions, and lending solutions.

the website does not primarily enable online sales or transactions. instead, it focuses on marketing its financial services, providing information about its offerings, and generating leads through contact options. this aligns with the characteristics of 'mark-ops'.

mark-ops",
360i,http://www.360i.com,http://www.linkedin.com/company/360i,300000000,marketing & advertising,,,United States,,"the provided html content indicates a 404 error page for a microsoft azure web app, meaning the website at http://www.360i.com is currently not functioning. therefore, its classification must be based on its intended purpose as determined by google search.

google search results reveal that 360i is a digital marketing agency that provides services such as search engine optimization (seo), paid search, social media marketing, content creation, analytics, and media planning. these services are focused on marketing, branding, and lead generation, aligning with the definition of 'mark-ops'. although 360i was merged into dentsu creative in 2022, it operated as a digital marketing agency.

mark-ops",
365 Media,http://www.365media.com,http://www.linkedin.com/company/365-media,146600000,online media,,,United States,,mark-ops,
3ayez,http://www.3ayez.com,http://www.linkedin.com/company/3ayez,300000000,management consulting,,,United States,,mark-ops,
3Cinteractive | An IMImobile company,,http://www.linkedin.com/company/3cinteractive,212100000,wireless,,,United States,,other,
"3Degrees Group, Inc.",http://www.3degrees.com,http://www.linkedin.com/company/3degrees,144500000,environmental services,,,United States,,"the website 3degrees.com provides solutions for climate action, focusing on renewable energy and decarbonization. it acts as a consultant and advisor for organizations aiming to achieve their climate goals, dealing with environmental commodities like energy attribute certificates and carbon credits. the site offers services such as climate strategy development, implementation, and communication, as well as project development and financing. while it engages with businesses and facilitates transactions related to environmental commodities, its primary function is not direct online sales of goods or services to consumers; instead, it focuses on corporate sustainability, branding, and lead generation through expert consultation and partnership. the html content also includes scripts related to marketing and gdpr compliance, further indicating a focus on marketing and operational aspects of climate solutions [cite: html]. therefore, the website fits the 'mark-ops' category.

mark-ops",
3PAR,http://www.3par.com,http://www.linkedin.com/company/3par,194280000,computer hardware,,,United States,,timeout,
3Pillar,http://www.3pillarglobal.com,http://www.linkedin.com/company/3pillar,400000000,information technology & services,,,United States,,'mark-ops',
3rd Battalion 8th Marines,http://www.marines.mil,http://www.linkedin.com/company/marines,53700000000,military,,,United States,,mark-ops,
3Shape Design Services,,http://www.linkedin.com/company/3shapedesignservices,319552000,design,,,United States,,other,
3STEP Sports,http://www.threestep.com,http://www.linkedin.com/company/3-step-sports-llc,250000000,sports,,,United States,,mark-ops,
4 Brothers Food Store,http://www.fourbrothersstores.com,http://www.linkedin.com/company/4-brothers-food-store,250000000,information technology & services,,,United States,,e-commerce,
"40 North Management, LLC",http://www.40north.com,,621000000,,,,United States,,mark-ops,
418 Intelligence Corp.,http://www.418intelligence.com,http://www.linkedin.com/company/418-intelligence-corp,253699000,information technology & services,,,United States,,mark-ops,
48forty Solutions,http://www.48forty.com,http://www.linkedin.com/company/48forty,709100000,packaging & containers,,,United States,,mark-ops,
4FRONT Engineered Solutions,http://www.4frontes.com,http://www.linkedin.com/company/4front-engineered-solutions,150000000,machinery,,,United States,,mark-ops,
4imprint,http://www.4imprint.com,http://www.linkedin.com/company/4imprint_2,1367900000,,,,United States,,"the website `http://www.4imprint.com/` is classified as 'e-commerce'. the html content and google search results indicate that the primary function of the website is to sell promotional products online. features like product listings (""shop all promotional bags,"" ""shop all promotional drinkware""), descriptions of specific items with pricing (""value priced as low as $3.39,"" ""stanley collection. fabulous on-trend drinkware... from just 5 units!""), and references to ordering processes (""order as few as 6 pieces,"" ""free samples, free art, free proofs"") strongly point towards an e-commerce model. the search results also highlight its revenue and website category as ""marketing and advertising"" in the context of online sales and transactions, with descriptions like ""online platform that offers a variety of promotional products and customization services"" and ""website enables customers to shop for and personalize their desired products."" the presence of product categories like ""apparel,"" ""bags,"" ""drinkware,"" and ""tech gadgets"" further supports this classification.

e-commerce",
4imprint Canada,http://www.4imprint.ca,http://www.linkedin.com/company/4imprint-canada,1367900000,,,,United States,,"the html title and description, along with the google search results, clearly indicate that 4imprint.ca is a website that sells promotional products. search results describe it as a ""promotional product store"" and mention ""thousands of products that are currently available"" with various branded product categories such as ""auto, home, bags, drinkware, food & beverage, office supplies, awards, outdoor & leisure, stationary, technology, toys, novelties and more"". the site offers features like ""free samples of promotional products"" and ""design a great logo with help from our art team"", and emphasizes ""the perfect product, perfectly printed and delivered on-time"". these all point to direct online sales of merchandise.

e-commerce",
4M,http://www.4m.net,http://www.linkedin.com/company/4m,100000000,information technology & services,,,United States,,"the website's title and meta description clearly indicate that it is a forum, specifically ""4m.net - the most opinionated racing message board in the universe"" and uses ""vbulletin forums"". forums are platforms for discussion and community interaction, not for direct online sales or marketing operations. therefore, it does not fit the definitions of 'e-commerce' or 'mark-ops'.

other",
4M Building Solutions,http://www.4-m.com,http://www.linkedin.com/company/4mbuildingsolutions,250000000,facilities services,,,United States,,mark-ops,
4over,http://www.4over.com,http://www.linkedin.com/company/4over,181000000,printing,,,United States,,"based on the provided html content and google search results, 4over.com is a wholesale trade printer that offers a wide range of printing services and products to businesses, primarily resellers, designers, and marketing agencies. they provide custom printing for items such as business cards, brochures, signs, banners, promotional products, and direct mail services. while they facilitate transactions for these printing services, their business model is b2b and focused on providing printing fulfillment rather than direct-to-consumer retail sales. therefore, it aligns with the 'mark-ops' category as it serves businesses with marketing collateral and promotional items, acting as a supplier for other businesses' marketing needs.

mark-ops",
"4over, LLC Customer Pick Up",,http://www.linkedin.com/company/4over-llc-customer-pick-up,181000000,,,,United States,,other,
4Rivers Equipment,http://www.4riversequipment.com,http://www.linkedin.com/company/4riversequipment,210900000,machinery,,,United States,,mark-ops,
4SProducts - Telecom & Energy Cables,http://www.4sproducts.com,http://www.linkedin.com/company/4sproducts,,electrical/electronic manufacturing,,,United States,,"the provided html indicates that the website is inaccessible, showing a ""forbidden"" error. however, google search results reveal that `www.4sproducts.com` is the website for 4sproducts, a leading manufacturer of telecom & energy cables. the company produces a broad range of cables including low, medium, and high voltage insulated cables, aluminum conductors, fiber optic cables, and copper telecommunication cables, exporting to over 120 countries. they emphasize quality control, international standards compliance, and offer financing options. while they are a manufacturer and supplier of physical goods, the website's primary function appears to be business-to-business (b2b) sales and corporate information, rather than direct consumer e-commerce with typical features like shopping carts and checkout found on consumer-facing online stores. the focus is on manufacturing, product specifications, and corporate offerings. therefore, it fits the 'mark-ops' category as it concentrates on marketing, branding, and facilitating large-scale transactions rather than direct consumer sales.mark-ops",
4-way transportation Inc,http://www.cortera.com,http://www.linkedin.com/company/4-way-transportation-inc,454000000,transportation/trucking/railroad,,,United States,,"based on the google search results, cortera.com provides b2b credit data, analytics, and workflow solutions for businesses to assess credit risk, monitor customers, and gain insights into business partners. it offers services like credit reports, customer monitoring, and business risk analytics, often with a focus on lead generation for financial services and risk assessment. while it provides valuable data and tools for business decision-making, it does not primarily enable direct online sales or transactions, nor does it feature typical e-commerce functionalities like shopping carts or checkout processes. the descriptions align with marketing and operational intelligence for businesses, aiming to inform decisions and manage risk, which falls under the 'mark-ops' category.

mark-ops",
